变量名,costGold1,costItemMap1,costExp1,costGold2,costItemMap2,costExp2,costGold3,costItemMap3,costExp3,costGold4,costItemMap4,costExp4,costGold5,costItemMap5,costExp5,costGold6,costItemMap6,costExp6,costGold7,costItemMap7,costExp7,costGold8,costItemMap8,costExp8,costGold9,costItemMap9,costExp9,costGold10,costItemMap10,costExp10,costGold11,costItemMap11,costExp11,costGold12,costItemMap12,costExp12,costGold13,costItemMap13,costExp13
默认值,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0,0,{},0
等级,金币消耗序列1,道具消耗序列1,消耗经验1,金币消耗序列2,道具消耗序列2,消耗经验2,金币消耗序列3,道具消耗序列3,消耗经验3,金币消耗序列4,道具消耗序列4,消耗经验4,金币消耗序列5,道具消耗序列5,消耗经验5,金币消耗序列6,道具消耗序列6,消耗经验6,金币消耗序列7,道具消耗序列7,消耗经验7,金币消耗序列8,道具消耗序列8,消耗经验8,金币消耗序列9,道具消耗序列9,消耗经验9,金币消耗序列10,道具消耗序列10,消耗经验10,金币消耗序列11,道具消耗序列11,消耗经验11,金币消耗序列12,道具消耗序列12,消耗经验12,金币消耗序列13,道具消耗序列13,消耗经验13
1,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,15
2,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,20
3,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,30
4,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,35
5,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,40
6,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,45
7,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,50
8,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,60
9,1600,,,1200,,,1000,,,2400,,,1600,,,1200,,,3000,,,2000,,,1500,,,4500,,,3000,,,2250,,,,,65
